10870_AT1,HCST,Recon3D,Homo sapiens
10873_AT1,ME3,Recon3D,Homo sapiens
108_AT1,ADCY2,Recon3D,Homo sapiens
10901_AT1,DHRS4,Recon3D,Homo sapiens
10919_AT1,EHMT2,Recon3D,Homo sapiens
10928_AT1,RALBP1,Recon3D,Homo sapiens
10935_AT1,PRDX3,Recon3D,Homo sapiens
10935_AT2,PRDX3,Recon3D,Homo sapiens
10941_AT1,UGT2A1,Recon3D,Homo sapiens
10948_AT1,STARD3,Recon3D,Homo sapiens
10965_AT1,ACOT2,Recon3D,Homo sapiens
10975_AT1,UQCR11,Recon3D,Homo sapiens
10991_AT1,SLC38A3,Recon3D,Homo sapiens
10993_AT1,SDS,Recon3D,Homo sapiens
10998_AT1,SLC27A5,Recon3D,Homo sapiens
10999_AT1,SLC27A4,Recon3D,Homo sapiens
109_AT1,ADCY3,Recon3D,Homo sapiens
11000_AT1,SLC27A3,Recon3D,Homo sapiens
11001_AT1,SLC27A2,Recon3D,Homo sapiens
1103_AT1,CHAT,Recon3D,Homo sapiens
1103_AT2,CHAT,Recon3D,Homo sapiens
1103_AT3,CHAT,Recon3D,Homo sapiens
1103_AT4,CHAT,Recon3D,Homo sapiens
11041_AT1,B4GAT1,Recon3D,Homo sapiens
11046_AT1,SLC35D2,Recon3D,Homo sapiens
1109_AT1,AKR1C4,Recon3D,Homo sapiens
11102_AT1,RPP14,Recon3D,Homo sapiens
11112_AT1,HIBADH,Recon3D,Homo sapiens
11136_AT1,SLC7A9,Recon3D,Homo sapiens
11164_AT1,NUDT5,Recon3D,Homo sapiens
11181_AT1,TREH,Recon3D,Homo sapiens
11182_AT1,SLC2A6,Recon3D,Homo sapiens
1118_AT1,CHIT1,Recon3D,Homo sapiens
1119_AT1,CHKA,Recon3D,Homo sapiens
1119_AT2,CHKA,Recon3D,Homo sapiens
111_AT1,ADCY5,Recon3D,Homo sapiens
1120_AT1,CHKB,Recon3D,Homo sapiens
1120_AT2,CHKB,Recon3D,Homo sapiens
11212_AT1,PROSC,Recon3D,Homo sapiens
11226_AT1,GALNT6,Recon3D,Homo sapiens
11227_AT1,GALNT5,Recon3D,Homo sapiens
11238_AT1,CA5B,Recon3D,Homo sapiens
112483_AT1,SAT2,Recon3D,Homo sapiens
11254_AT1,SLC6A14,Recon3D,Homo sapiens
112611_AT1,RWDD2A,Recon3D,Homo sapiens
112724_AT1,RDH13,Recon3D,Homo sapiens
11283_AT1,CYP4F8,Recon3D,Homo sapiens
11285_AT1,B4GALT7,Recon3D,Homo sapiens
112_AT1,ADCY6,Recon3D,Homo sapiens
112_AT2,ADCY6,Recon3D,Homo sapiens
113026_AT1,PLCD3,Recon3D,Homo sapiens
11309_AT1,SLCO2B1,Recon3D,Homo sapiens
113189_AT1,CHST14,Recon3D,Homo sapiens
113235_AT1,SLC46A1,Recon3D,Homo sapiens
113278_AT1,SLC52A3,Recon3D,Homo sapiens
11332_AT1,ACOT7,Recon3D,Homo sapiens
11343_AT1,MGLL,Recon3D,Homo sapiens
11343_AT2,MGLL,Recon3D,Homo sapiens
113451_AT1,AZIN2,Recon3D,Homo sapiens
113612_AT1,CYP2U1,Recon3D,Homo sapiens
113675_AT1,SDSL,Recon3D,Homo sapiens
113_AT1,ADCY7,Recon3D,Homo sapiens
114134_AT1,SLC2A13,Recon3D,Homo sapiens
114571_AT1,SLC22A9,Recon3D,Homo sapiens
114805_AT1,GALNT13,Recon3D,Homo sapiens
114971_AT1,PTPMT1,Recon3D,Homo sapiens
114_AT1,ADCY8,Recon3D,Homo sapiens
115019_AT1,SLC26A9,Recon3D,Homo sapiens
115019_AT2,SLC26A9,Recon3D,Homo sapiens
115111_AT1,SLC26A7,Recon3D,Homo sapiens
115111_AT2,SLC26A7,Recon3D,Homo sapiens
115286_AT1,SLC25A26,Recon3D,Homo sapiens
115286_AT2,SLC25A26,Recon3D,Homo sapiens
115286_AT3,SLC25A26,Recon3D,Homo sapiens
1152_AT1,CKB,Recon3D,Homo sapiens
115584_AT1,SLC5A11,Recon3D,Homo sapiens
1155_AT1,TBCB,Recon3D,Homo sapiens
1158_AT1,CKM,Recon3D,Homo sapiens
1159_AT1,CKMT1B,Recon3D,Homo sapiens
115_AT1,ADCY9,Recon3D,Homo sapiens
116085_AT1,SLC22A12,Recon3D,Homo sapiens
1160_AT1,CKMT2,Recon3D,Homo sapiens
116255_AT1,MOGAT1,Recon3D,Homo sapiens
116285_AT1,ACSM1,Recon3D,Homo sapiens
116369_AT1,SLC26A8,Recon3D,Homo sapiens
116369_AT2,SLC26A8,Recon3D,Homo sapiens
117247_AT1,SLC16A10,Recon3D,Homo sapiens
117248_AT1,GALNT15,Recon3D,Homo sapiens
117283_AT1,IP6K3,Recon3D,Homo sapiens
1178_AT1,CLC,Recon3D,Homo sapiens
118881_AT1,COMTD1,Recon3D,Homo sapiens
119548_AT1,PNLIPRP3,Recon3D,Homo sapiens
1200_AT1,TPP1,Recon3D,Homo sapiens
120103_AT1,SLC36A4,Recon3D,Homo sapiens
1208_AT1,CLPS,Recon3D,Homo sapiens
121214_AT1,SDR9C7,Recon3D,Homo sapiens
121278_AT1,TPH2,Recon3D,Homo sapiens
1215_AT1,CMA1,Recon3D,Homo sapiens
122481_AT1,AK7,Recon3D,Homo sapiens
122618_AT1,PLD4,Recon3D,Homo sapiens
122622_AT1,ADSSL1,Recon3D,Homo sapiens
122622_AT2,ADSSL1,Recon3D,Homo sapiens
122970_AT1,ACOT4,Recon3D,Homo sapiens
123041_AT1,SLC24A4,Recon3D,Homo sapiens
123041_AT2,SLC24A4,Recon3D,Homo sapiens
123041_AT3,SLC24A4,Recon3D,Homo sapiens
123096_AT1,SLC25A29,Recon3D,Homo sapiens
123099_AT1,DEGS2,Recon3D,Homo sapiens
123264_AT1,SLC51B,Recon3D,Homo sapiens
123688_AT1,HYKK,Recon3D,Homo sapiens
123745_AT1,PLA2G4E,Recon3D,Homo sapiens
123876_AT1,ACSM2A,Recon3D,Homo sapiens
1244_AT1,ABCC2,Recon3D,Homo sapiens
,,,
124583_AT1,CANT1,Recon3D,Homo sapiens
124637_AT1,CYB5D1,Recon3D,Homo sapiens
124872_AT1,B4GALNT2,Recon3D,Homo sapiens
124935_AT1,SLC43A2,Recon3D,Homo sapiens
124975_AT1,GGT6,Recon3D,Homo sapiens
124_AT1,ADH1A,Recon3D,Homo sapiens
125061_AT1,AFMID,Recon3D,Homo sapiens
125206_AT1,SLC5A10,Recon3D,Homo sapiens
125965_AT1,COX6B2,Recon3D,Homo sapiens
125981_AT1,ACER1,Recon3D,Homo sapiens
125_AT1,ADH1B,Recon3D,Homo sapiens
126129_AT1,CPT1C,Recon3D,Homo sapiens
126328_AT1,NDUFA11,Recon3D,Homo sapiens
126410_AT1,CYP4F22,Recon3D,Homo sapiens
126792_AT1,B3GALT6,Recon3D,Homo sapiens
1267_AT1,CNP,Recon3D,Homo sapiens
126_AT1,ADH1C,Recon3D,Homo sapiens
127124_AT1,ATP6V1G3,Recon3D,Homo sapiens
127124_AT2,ATP6V1G3,Recon3D,Homo sapiens
127_AT1,ADH4,Recon3D,Homo sapiens
128869_AT1,PIGU,Recon3D,Homo sapiens
128_AT1,ADH5,Recon3D,Homo sapiens
129607_AT1,CMPK2,Recon3D,Homo sapiens
129642_AT1,MBOAT2,Recon3D,Homo sapiens
129807_AT1,NEU4,Recon3D,Homo sapiens
130013_AT1,ACMSD,Recon3D,Homo sapiens
130367_AT1,SGPP2,Recon3D,Homo sapiens
130752_AT1,MDH1B,Recon3D,Homo sapiens
130_AT1,ADH6,Recon3D,Homo sapiens
1312_AT1,COMT,Recon3D,Homo sapiens
1312_AT2,COMT,Recon3D,Homo sapiens
131669_AT1,UROC1,Recon3D,Homo sapiens
131_AT1,ADH7,Recon3D,Homo sapiens
132158_AT1,GLYCTK,Recon3D,Homo sapiens
132789_AT1,GNPDA2,Recon3D,Homo sapiens
1327_AT1,COX4I1,Recon3D,Homo sapiens
1329_AT1,COX5B,Recon3D,Homo sapiens
132_AT1,ADK,Recon3D,Homo sapiens
132_AT2,ADK,Recon3D,Homo sapiens
133121_AT1,ENPP6,Recon3D,Homo sapiens
1337_AT1,COX6A1,Recon3D,Homo sapiens
1339_AT1,COX6A2,Recon3D,Homo sapiens
1340_AT1,COX6B1,Recon3D,Homo sapiens
134526_AT1,ACOT12,Recon3D,Homo sapiens
1345_AT1,COX6C,Recon3D,Homo sapiens
1346_AT1,COX7A1,Recon3D,Homo sapiens
1347_AT1,COX7A2,Recon3D,Homo sapiens
1349_AT1,COX7B,Recon3D,Homo sapiens
1350_AT1,COX7C,Recon3D,Homo sapiens
135152_AT1,B3GAT2,Recon3D,Homo sapiens
1351_AT1,COX8A,Recon3D,Homo sapiens
1356_AT1,CP,Recon3D,Homo sapiens
1357_AT1,CPA1,Recon3D,Homo sapiens
1358_AT1,CPA2,Recon3D,Homo sapiens
1371_AT1,CPOX,Recon3D,Homo sapiens
1373_AT1,CPS1,Recon3D,Homo sapiens
1373_AT2,CPS1,Recon3D,Homo sapiens
1374_AT1,CPT1A,Recon3D,Homo sapiens
1375_AT1,CPT1B,Recon3D,Homo sapiens
1375_AT2,CPT1B,Recon3D,Homo sapiens
1375_AT3,CPT1B,Recon3D,Homo sapiens
1375_AT4,CPT1B,Recon3D,Homo sapiens
1376_AT1,CPT2,Recon3D,Homo sapiens
137872_AT1,ADHFE1,Recon3D,Homo sapiens
137902_AT1,PXDNL,Recon3D,Homo sapiens
137964_AT1,GPAT4,Recon3D,Homo sapiens
138429_AT1,PIP5KL1,Recon3D,Homo sapiens
1384_AT1,CRAT,Recon3D,Homo sapiens
1384_AT2,CRAT,Recon3D,Homo sapiens
1384_AT3,CRAT,Recon3D,Homo sapiens
138639_AT1,PTPDC1,Recon3D,Homo sapiens
139596_AT1,UPRT,Recon3D,Homo sapiens
13_AT1,AADAC,Recon3D,Homo sapiens
140679_AT1,SLC32A1,Recon3D,Homo sapiens
140687_AT1,GCNT7,Recon3D,Homo sapiens
140838_AT1,NANP,Recon3D,Homo sapiens
142680_AT1,SLC34A3,Recon3D,Homo sapiens
1431_AT1,CS,Recon3D,Homo sapiens
1431_AT2,CS,Recon3D,Homo sapiens
144193_AT1,AMDHD1,Recon3D,Homo sapiens
144195_AT1,SLC2A14,Recon3D,Homo sapiens
145173_AT1,B3GLCT,Recon3D,Homo sapiens
145226_AT1,RDH12,Recon3D,Homo sapiens
145553_AT1,MDP1,Recon3D,Homo sapiens
146664_AT1,MGAT5B,Recon3D,Homo sapiens
146712_AT1,B3GNTL1,Recon3D,Homo sapiens
146802_AT1,SLC47A2,Recon3D,Homo sapiens
1468_AT1,SLC25A10,Recon3D,Homo sapiens
148789_AT1,B3GALNT2,Recon3D,Homo sapiens
1487_AT1,CTBP1,Recon3D,Homo sapiens
1491_AT1,CTH,Recon3D,Homo sapiens
1491_AT2,CTH,Recon3D,Homo sapiens
1503_AT1,CTPS1,Recon3D,Homo sapiens
151531_AT1,UPP2,Recon3D,Homo sapiens
152586_AT1,MGAT4D,Recon3D,Homo sapiens
153201_AT1,SLC36A2,Recon3D,Homo sapiens
1537_AT1,CYC1,Recon3D,Homo sapiens
154091_AT1,SLC2A12,Recon3D,Homo sapiens
154141_AT1,MBOAT1,Recon3D,Homo sapiens
1543_AT1,CYP1A1,Recon3D,Homo sapiens
1544_AT1,CYP1A2,Recon3D,Homo sapiens
1545_AT1,CYP1B1,Recon3D,Homo sapiens
1548_AT1,CYP2A6,Recon3D,Homo sapiens
1549_AT1,CYP2A7,Recon3D,Homo sapiens
155184_AT1,SLC2A7,Recon3D,Homo sapiens
1551_AT1,CYP3A7,Recon3D,Homo sapiens
1553_AT1,CYP2A13,Recon3D,Homo sapiens
1555_AT1,CYP2B6,Recon3D,Homo sapiens
1557_AT1,CYP2C19,Recon3D,Homo sapiens
1558_AT1,CYP2C8,Recon3D,Homo sapiens
1558_AT2,CYP2C8,Recon3D,Homo sapiens
1559_AT1,CYP2C9,Recon3D,Homo sapiens
1562_AT1,CYP2C18,Recon3D,Homo sapiens
1565_AT1,CYP2D6,Recon3D,Homo sapiens
1571_AT1,CYP2E1,Recon3D,Homo sapiens
1572_AT1,CYP2F1,Recon3D,Homo sapiens
1573_AT1,CYP2J2,Recon3D,Homo sapiens
157506_AT1,RDH10,Recon3D,Homo sapiens
1576_AT1,CYP3A4,Recon3D,Homo sapiens
1577_AT1,CYP3A5,Recon3D,Homo sapiens
1579_AT1,CYP4A11,Recon3D,Homo sapiens
1580_AT1,CYP4B1,Recon3D,Homo sapiens
158160_AT1,,Recon3D,Homo sapiens
1581_AT1,CYP7A1,Recon3D,Homo sapiens
1582_AT1,CYP8B1,Recon3D,Homo sapiens
1583_AT1,CYP11A1,Recon3D,Homo sapiens
1584_AT1,CYP11B1,Recon3D,Homo sapiens
158584_AT1,FAAH2,Recon3D,Homo sapiens
1585_AT1,CYP11B2,Recon3D,Homo sapiens
1586_AT1,CYP17A1,Recon3D,Homo sapiens
1588_AT1,CYP19A1,Recon3D,Homo sapiens
1588_AT2,CYP19A1,Recon3D,Homo sapiens
1589_AT1,CYP21A2,Recon3D,Homo sapiens
158_AT1,ADSL,Recon3D,Homo sapiens
158_AT2,ADSL,Recon3D,Homo sapiens
1591_AT1,CYP24A1,Recon3D,Homo sapiens
1593_AT1,CYP27A1,Recon3D,Homo sapiens
1594_AT1,CYP27B1,Recon3D,Homo sapiens
1595_AT1,CYP51A1,Recon3D,Homo sapiens
159963_AT1,SLC5A12,Recon3D,Homo sapiens
159_AT1,ADSS,Recon3D,Homo sapiens
15_AT1,AANAT,Recon3D,Homo sapiens
160287_AT1,LDHAL6A,Recon3D,Homo sapiens
160428_AT1,ALDH1L2,Recon3D,Homo sapiens
1606_AT1,DGKA,Recon3D,Homo sapiens
160728_AT1,SLC5A8,Recon3D,Homo sapiens
1607_AT1,DGKB,Recon3D,Homo sapiens
1607_AT2,DGKB,Recon3D,Homo sapiens
160851_AT1,DGKH,Recon3D,Homo sapiens
160851_AT2,DGKH,Recon3D,Homo sapiens
1608_AT1,DGKG,Recon3D,Homo sapiens
1609_AT1,DGKQ,Recon3D,Homo sapiens
1610_AT1,DAO,Recon3D,Homo sapiens
1621_AT1,DBH,Recon3D,Homo sapiens
1622_AT1,DBI,Recon3D,Homo sapiens
162417_AT1,NAGS,Recon3D,Homo sapiens
