,transc_r,transc_pval,transc_sig
C32:0 PC,0.4031413264418741,1.1942827063183489e-36,True
C34:4 PC,0.32181645635191153,3.150242093460318e-23,True
C34:3 PC,0.12837425686262544,0.00010862969692174401,True
C34:2 PC,0.266895237991857,3.2943078238242715e-16,True
C34:1 PC,0.4388507416061596,7.574686162881637e-44,True
C36:4 PC-A,0.3909380437759738,2.2060774621825697e-34,True
C36:4 PC-B,0.5675163288042452,3.40580103193777e-78,True
C36:3 PC,0.3463991984949012,6.991341165542104e-27,True
C36:2 PC,0.2901974054241342,5.314061580117001e-19,True
C36:1 PC,0.3940438423885456,5.966916524894909e-35,True
C38:6 PC,0.5232216372828776,1.1250770393055607e-64,True
C38:5 PC,0.5603805763871551,7.068564254464585e-76,True
C38:4 PC,0.610597429126965,1.8140949803311444e-93,True
C38:2 PC,0.22973509116640972,2.719345891971903e-12,True
C40:6 PC,0.5354204815795635,3.3647017566332757e-68,True
C14:0 SM,0.3260698772031884,7.757357380900863e-24,True
C16:1 SM,0.38586765084324076,1.810243296349547e-33,True
C16:0 SM,0.4243059288342163,8.240217820213704e-41,True
C18:2 SM,0.37906524496633764,2.878511536049413e-32,True
C18:1 SM,0.3469761269191231,5.685838425644121e-27,True
C18:0 SM,0.3417014871610164,3.702848010787787e-26,True
C22:1 SM,0.3421005375657444,3.217488812329758e-26,True
C22:0 SM,0.29617019754566193,9.253412080591141e-20,True
C24:1 SM,0.426079571689049,3.5770958090215555e-41,True
C24:0 SM,0.3810711536247001,1.2818408688505993e-32,True
C34:2 DAG,0.3376938305769609,1.5012027097733624e-25,True
C34:1 DAG,0.3358355359235334,2.8529905657434343e-25,True
C36:2 DAG,0.3057704386454135,5.10648590387655e-21,True
C36:1 DAG,0.3800023952283287,1.973930544336061e-32,True
C14:0 CE,0.3711606859185327,6.60606555866772e-31,True
C16:1 CE,0.6213863076428564,1.1361738136495422e-97,True
C16:0 CE,0.6190371385452494,9.652111228107181e-97,True
C18:3 CE,0.5496907915040802,1.6477734891237237e-72,True
C18:2 CE,0.6237102982534624,1.3440275075551988e-98,True
C18:1 CE,0.6610268786498565,1.2525284260482343e-114,True
C18:0 CE,0.44217172645620617,1.4623894379270997e-44,True
C20:5 CE,0.6327134010189095,2.897182039714392e-102,True
C20:4 CE,0.6571352261483376,7.529746088890693e-113,True
C20:3 CE,0.5733312100685539,3.996791730763489e-80,True
C22:6 CE,0.5806203368038246,1.338255202396356e-82,True
C46:2 TAG,0.5008185320749493,1.4510628890966561e-58,True
C46:1 TAG,0.5309013316714982,7.06852586056133e-67,True
C46:0 TAG,0.47152081835669707,3.142518906406076e-51,True
C48:3 TAG,0.397054159940955,1.6577681671619452e-35,True
C48:2 TAG,0.5022555852505619,6.070571427813757e-59,True
C48:1 TAG,0.4627755196463118,3.56861184567958e-49,True
C48:0 TAG,0.37741563594860444,5.575221211419468e-32,True
C50:3 TAG,0.4673850676362203,2.996690675759008e-50,True
C50:2 TAG,0.4577564961012915,5.0742506535435234e-48,True
C50:1 TAG,0.41319764912479073,1.3711611050943948e-38,True
C50:0 TAG,0.3777167225592668,4.942934280835799e-32,True
C52:5 TAG,0.5026426335831148,4.797216292806306e-59,True
C52:4 TAG,0.4241915761324591,8.694212996398286e-41,True
C52:3 TAG,0.41515852724585484,5.636807505577137e-39,True
C52:2 TAG,0.44778606541534965,8.696648280321822e-46,True
C52:1 TAG,0.42586418007939947,3.959650469473869e-41,True
C54:7 TAG,0.5091421193628419,8.797509823371493e-61,True
C54:6 TAG,0.5056697629469536,7.530369001736117e-60,True
C54:5 TAG,0.463696599176408,2.1818964999661076e-49,True
C54:4 TAG,0.43500532172692513,4.973087528828868e-43,True
C54:3 TAG,0.4089785971485343,9.100927872385622e-38,True
C54:2 TAG,0.432697719862254,1.5206674861350118e-42,True
C54:1 TAG,0.4200722206886155,5.9199475461895355e-40,True
C56:8 TAG,0.5118855875101145,1.5848661531717003e-61,True
C56:7 TAG,0.5184352867236754,2.4842788119200664e-63,True
C56:6 TAG,0.537428866247616,8.566341506348192e-69,True
C56:5 TAG,0.5346364869832625,5.725264117632157e-68,True
C56:4 TAG,0.5279949388242501,4.889654294365979e-66,True
C56:3 TAG,0.3993670687551687,6.141072565623261e-36,True
C56:2 TAG,0.451366918539237,1.3980832086885727e-46,True
C58:8 TAG,0.539999108876771,1.467429619879002e-69,True
C58:7 TAG,0.475162834820027,4.203885737009299e-52,True
C58:6 TAG,0.5422143117500159,3.168322503521904e-70,True
