,transc_r,transc_pval,transc_sig
C32:0 PC,0.3657519536120848,2.2516269353012453e-30,True
C34:4 PC,0.26593341664331127,2.7128218607134257e-16,True
C34:3 PC,0.11671190760680311,0.00040069874157765145,False
C34:2 PC,0.22613273774203713,4.373243934866411e-12,True
C34:1 PC,0.3834296871365035,1.8810364811274495e-33,True
C36:4 PC-A,0.3716451640821835,2.2257136205193185e-31,True
C36:4 PC-B,0.5386819920069835,4.614069246533145e-70,True
C36:3 PC,0.32440739149195696,6.857716099107695e-24,True
C36:2 PC,0.22538832751083662,5.157894703291021e-12,True
C36:1 PC,0.33400857783147087,2.609457135219399e-25,True
C38:6 PC,0.4996181474272109,5.312255578330177e-59,True
C38:5 PC,0.5463622624347136,2.0610644190070124e-72,True
C38:4 PC,0.5728042347081216,5.485441778931335e-81,True
C38:2 PC,0.182825802293412,2.5068911958981612e-08,True
C40:6 PC,0.5191339987064272,2.3944405820632527e-64,True
C14:0 SM,0.26330816291887127,5.421568953606843e-16,True
C16:1 SM,0.38171593212672233,3.8123106395138846e-33,True
C16:0 SM,0.41888615367941223,3.1949336323568167e-40,True
C18:2 SM,0.3494379341833217,1.0652903038746698e-27,True
C18:1 SM,0.28595281035400305,1.0688646701125159e-18,True
C18:0 SM,0.2780244641453049,1.0114682983139794e-17,True
C22:1 SM,0.34403657751421246,7.570697316660686e-27,True
C22:0 SM,0.2192534532308351,1.9657611661223147e-11,True
C24:1 SM,0.3794634057357763,9.586472696541549e-33,True
C24:0 SM,0.35924943449082714,2.7377768147001126e-29,True
C34:2 DAG,0.3428011555442351,1.1792305843831896e-26,True
C34:1 DAG,0.3591114561570341,2.885016145463792e-29,True
C36:2 DAG,0.28948212877801954,3.83946833465909e-19,True
C36:1 DAG,0.36931098681575847,5.598048724724646e-31,True
C14:0 CE,0.313447625047328,2.4856238371468334e-22,True
C16:1 CE,0.6167842807861439,4.149930522916298e-97,True
C16:0 CE,0.600248925274181,9.413523449387908e-91,True
C18:3 CE,0.5332119965733555,2.0006391670964087e-68,True
C18:2 CE,0.6077704724083342,1.3461800791710323e-93,True
C18:1 CE,0.6624885302563484,8.206035000685079e-117,True
C18:0 CE,0.41766764246388743,5.6354227457995654e-40,True
C20:5 CE,0.6180677154540752,1.2847197279827842e-97,True
C20:4 CE,0.6416901798592184,1.984529520502291e-107,True
C20:3 CE,0.5631470920146088,9.137807626036357e-78,True
C22:6 CE,0.5746330798397083,1.3091526504014226e-81,True
C46:2 TAG,0.4666226215401799,1.0303944275337649e-50,True
C46:1 TAG,0.5244947145737293,7.061674282850182e-66,True
C46:0 TAG,0.4341750845427957,2.1113663872465527e-43,True
C48:3 TAG,0.3677858906885657,1.0185581021727966e-30,True
C48:2 TAG,0.4955099661331058,6.415055888702229e-58,True
C48:1 TAG,0.4360187320319583,8.510846237661789e-44,True
C48:0 TAG,0.3363551688451064,1.1530262413746633e-25,True
C50:3 TAG,0.4373888771672025,4.3166236042937673e-44,True
C50:2 TAG,0.4503968629235985,5.859846663636342e-47,True
C50:1 TAG,0.3775017273352927,2.1275022374124674e-32,True
C50:0 TAG,0.36001310143680976,2.0477661034938387e-29,True
C52:5 TAG,0.49239673491396285,4.143226097826983e-57,True
C52:4 TAG,0.3950346021143144,1.4072652998228845e-35,True
C52:3 TAG,0.3780415928505539,1.70933323761513e-32,True
C52:2 TAG,0.4060985910222829,1.0990486487023875e-37,True
C52:1 TAG,0.39570916989671967,1.0523553637764567e-35,True
C54:7 TAG,0.4991643318974551,7.0068052594734165e-59,True
C54:6 TAG,0.478712624437465,1.2046597545924834e-53,True
C54:5 TAG,0.43891638448796033,2.0177097519261222e-44,True
C54:4 TAG,0.415608841182482,1.462366852409623e-39,True
C54:3 TAG,0.36106762579902507,1.3695055719781438e-29,True
C54:2 TAG,0.45497357985493503,5.3600765977973946e-48,True
C54:1 TAG,0.42907802825177704,2.5285936541265542e-42,True
C56:8 TAG,0.5225156252408587,2.6125049835108914e-65,True
C56:7 TAG,0.474826221553646,1.0870633368449846e-52,True
C56:6 TAG,0.5225948713327072,2.4795878722916334e-65,True
C56:5 TAG,0.5180445813448361,4.862557157848276e-64,True
C56:4 TAG,0.49993163186527306,4.3864551535719555e-59,True
C56:3 TAG,0.37789284228108605,1.8156500075391232e-32,True
C56:2 TAG,0.453069757770147,1.456049888888501e-47,True
C58:8 TAG,0.5219396022404907,3.816945086810051e-65,True
C58:7 TAG,0.466094914358849,1.3750870187858475e-50,True
C58:6 TAG,0.5208816266209866,7.643990975700793e-65,True
