,miRNA_r,miRNA_pval,miRNA_sig
thymidine,0.25749586429546606,2.4435823887427842e-15,True
xanthosine,0.3420712037929447,1.5307688304705095e-26,True
2-deoxyadenosine,0.1591349284983789,1.2944878458376018e-06,True
2-deoxycytidine,0.38066521530799885,5.8665523033944824e-33,True
cAMP,0.19552717906309744,2.4116088430039543e-09,True
cotinine,0.3299845801187172,1.0416187738205435e-24,True
pipecolic acid,0.07110598869801188,0.03140969403968931,False
pyroglutamic acid,0.4543860620354226,7.301258234937056e-48,True
1-methylnicotinamide,0.6750372143096115,7.56140835822933e-123,True
butyrobetaine,0.2669807732240394,2.0536163710122218e-16,True
putrescine,0.19479642704090686,2.7714202378578456e-09,True
methionine sulfoxide,0.45556394932412336,3.9267077951706376e-48,True
carnitine,0.36632621580389296,1.800851232779304e-30,True
acetylcarnitine,0.2783493104771199,9.23801405121454e-18,True
propionylcarnitine,0.1964855010379106,2.0079381316819036e-09,True
malonylcarnitine,0.30636973180909066,2.3354161860187855e-21,True
butyrylcarnitine/isobutyrylcarnitine,0.24906841955192574,2.0295946730721428e-14,True
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.11379897776860909,0.0005591463697586538,False
hexanoylcarnitine,0.2897735728473345,3.525904530491289e-19,True
heptanoylcarnitine,0.22144897859152984,1.223327971040624e-11,True
lauroylcarnitine,0.3067223779662747,2.091772656762412e-21,True
myristoylcarnitine,0.28865426347235895,4.888080200212714e-19,True
palmitoylcarnitine,0.2567976428018238,2.9206936727689e-15,True
stearoylcarnitine,0.21675771546120032,3.349997887986861e-11,True
oleylcarnitine,0.2139797268570865,6.017959071969723e-11,True
arachidonyl_carnitine,0.5012383274642449,1.9702599395564665e-59,True
sarcosine,0.15734643669590007,1.7055889349017073e-06,True
beta-alanine,0.27658183608720355,1.5106909127206444e-17,True
anserine,0.3735966761695611,1.0233896649045436e-31,True
C14:0 LPC,0.3066377852965105,2.147823695388075e-21,True
C16:1 LPC,0.10117069124561048,0.0021718390606929733,False
C16:0 LPC,0.2652277873826945,3.2702040740526817e-16,True
C18:2 LPC,0.1155170815392556,0.0004598062744038633,False
C18:1 LPC,0.3731250920040998,1.2353571865647963e-31,True
C18:0 LPC,0.2628748636136071,6.073442583241232e-16,True
C20:4 LPC,0.2687029938600895,1.295839686820253e-16,True
C20:3 LPC,0.2494040491979667,1.868268865582469e-14,True
C22:6 LPC,0.2821524432598022,3.1673768139856042e-18,True
C16:0 LPE,0.33378600173015255,2.8186151314140433e-25,True
C18:1 LPE,0.30241532783764785,7.95193831988615e-21,True
C18:0 LPE,0.25575810176119695,3.805201567971443e-15,True
C20:4 LPE,0.30177505916830455,9.679681422166376e-21,True
C22:6 LPE,0.26728177920594015,1.8952814836563426e-16,True
C32:2 PC,0.23421707462410984,7.016918344950788e-13,True
C32:1 PC,0.21985667431369077,1.7264440250850467e-11,True
C32:0 PC,0.3045242268279346,4.146809846068187e-21,True
C34:4 PC,0.22504223443810015,5.5680990361953325e-12,True
C34:3 PC,0.07486269209425674,0.023461026860848982,False
C34:2 PC,0.15005961823037797,5.084338791975046e-06,True
C34:1 PC,0.38607391008580466,6.2725569903533095e-34,True
C36:4 PC-A,0.37339316278682655,1.1100375905752937e-31,True
C36:4 PC-B,0.47946543095470073,7.841099089205896e-54,True
C36:3 PC,0.2560491845445875,3.5339376062126303e-15,True
C36:2 PC,0.2426837515442822,9.584149960649811e-14,True
C36:1 PC,0.26830024572808214,1.4435915765219084e-16,True
C38:6 PC,0.4265055872056013,8.71236456218515e-42,True
C38:5 PC,0.49728532140994924,2.1950987732922116e-58,True
C38:4 PC,0.5054634245136704,1.4462709707054154e-60,True
C38:2 PC,0.13716023065147337,3.1100617460831485e-05,True
C40:6 PC,0.5060418321106348,1.0086218632765516e-60,True
C14:0 SM,0.22675509721716644,3.807953242604359e-12,True
C16:1 SM,0.2819240001987758,3.37930695341304e-18,True
C16:0 SM,0.32817005535697724,1.9313718090610936e-24,True
C18:2 SM,0.3211119229014271,2.0503726887813417e-23,True
C18:1 SM,0.2569733218117839,2.792663416932495e-15,True
C18:0 SM,0.20199757052285253,6.876370852016398e-10,True
C22:1 SM,0.29219896773773896,1.7285284453514563e-19,True
C22:0 SM,0.15504040161816235,2.423029650028869e-06,True
C24:1 SM,0.2751637232177373,2.2357982283039728e-17,True
C24:0 SM,0.27895669778015525,7.795036844964958e-18,True
C34:2 DAG,0.30951695029863663,8.68986684144397e-22,True
C34:1 DAG,0.2340172323366724,7.347713725229848e-13,True
C36:2 DAG,0.17426153541423592,1.1109651227161513e-07,True
C36:1 DAG,0.30860630837120706,1.1581934907657988e-21,True
C14:0 CE,0.21491088287786286,4.949492688066175e-11,True
C16:1 CE,0.569940975478056,5.0762577298862164e-80,True
C16:0 CE,0.57010802619115,4.460933189809622e-80,True
C18:3 CE,0.5004221565629193,3.249430530466363e-59,True
C18:2 CE,0.571167624155044,1.9620985936341336e-80,True
C18:1 CE,0.6000343956007,1.1318290173275604e-90,True
C18:0 CE,0.36349296502463346,5.398011554590721e-30,True
C20:5 CE,0.5862941545131355,1.1370545420370856e-85,True
C20:4 CE,0.5971421667776851,1.3390955218610345e-89,True
C20:3 CE,0.5336145274613543,1.5195632334423839e-68,True
C22:6 CE,0.51496582364506,3.5507609895090607e-63,True
C46:2 TAG,0.3678277688782767,1.0019969766911188e-30,True
C46:1 TAG,0.4241277528724302,2.707923408399626e-41,True
C46:0 TAG,0.3899134414597655,1.2504727466123586e-34,True
C48:3 TAG,0.219115187197099,2.0250243095205034e-11,True
C48:2 TAG,0.37411581037513203,8.315533142462794e-32,True
C48:1 TAG,0.37024791535327084,3.869417665440948e-31,True
C48:0 TAG,0.2793578949091664,6.966209091804612e-18,True
C50:3 TAG,0.30561991305402425,2.9504541203449162e-21,True
C50:2 TAG,0.340728011789797,2.4696056552055586e-26,True
C50:1 TAG,0.3393930067691428,3.9634387013307196e-26,True
C50:0 TAG,0.2868994462064296,8.133477325811355e-19,True
C52:5 TAG,0.3913550344970347,6.787457253894664e-35,True
C52:4 TAG,0.30214520592808275,8.640188850786268e-21,True
C52:3 TAG,0.2548503843495374,4.789358895603123e-15,True
C52:2 TAG,0.35288055261796897,2.991668280102206e-28,True
C52:1 TAG,0.3363072587233292,1.172497626345707e-25,True
C54:7 TAG,0.3900824712598311,1.1641999548777173e-34,True
C54:6 TAG,0.4019722722465242,6.859401979904355e-37,True
C54:5 TAG,0.3254933012529619,4.765974688971834e-24,True
C54:4 TAG,0.28854735025284317,5.042615763401246e-19,True
C54:3 TAG,0.25035993968552395,1.474697750600775e-14,True
C54:2 TAG,0.3633021544561022,5.809921185618332e-30,True
C54:1 TAG,0.36077247965401393,1.532958881394028e-29,True
C56:8 TAG,0.4534592956731551,1.1874039300600813e-47,True
C56:7 TAG,0.4153935527022181,1.6150858857296225e-39,True
C56:6 TAG,0.44064368397105813,8.498400629810478e-45,True
C56:5 TAG,0.44024134172686985,1.0399238181659707e-44,True
C56:4 TAG,0.40893476511303584,3.0752748549783834e-38,True
C56:3 TAG,0.3079728237467873,1.413571554187714e-21,True
C56:2 TAG,0.35445706962609674,1.663589110673061e-28,True
C58:8 TAG,0.4384789929751926,2.5096088501841425e-44,True
C58:7 TAG,0.3882019195236873,2.5728907837467875e-34,True
C58:6 TAG,0.46481606682326626,2.761463657844578e-50,True
